jmeno|prezdivka|pohlavi|vyska|vaha|narozeni|umrti|klub|stat|sport|hry1|udalost1|tym1|poradi1|medaile1|detail1|hry2|udalost2|tym2|poradi2|medaile2|detail2|hry3|udalost3|tym3|poradi3|medaile3|detail3|hry4|udalost4|tym4|poradi4|medaile4|detail4|hry5|udalost5|tym5|poradi5|medaile5|detail5|hry6|udalost6|tym6|poradi6|medaile6|detail6|hry7|udalost7|tym7|poradi7|medaile7|detail7|hry8|udalost8|tym8|poradi8|medaile8|detail8|hry9|udalost9|tym9|poradi9|medaile9|detail9|hry10|udalost10|tym10|poradi10|medaile10|detail10|hry11|udalost11|tym11|poradi11|medaile11|detail11|hry12|udalost12|tym12|poradi12|medaile12|detail12|hry13|udalost13|tym13|poradi13|medaile13|detail13|hry14|udalost14|tym14|poradi14|medaile14|detail14|hry15|udalost15|tym15|poradi15|medaile15|detail15|hry16|udalost16|tym16|poradi16|medaile16|detail16|hry17|udalost17|tym17|poradi17|medaile17|detail17|hry18|udalost18|tym18|poradi18|medaile18|detail18|hry19|udalost19|tym19|poradi19|medaile19|detail19|hry20|udalost20|tym20|poradi20|medaile20|detail20|hry21|udalost21|tym21|poradi21|medaile21|detail21|hry22|udalost22|tym22|poradi22|medaile22|detail22|hry23|udalost23|tym23|poradi23|medaile23|detail23|hry24|udalost24|tym24|poradi24
Jiří Holík||Male|"5'10"" (178 cm)"|187 lbs (85 kg)|1944-07-09||Dukla Jihlava, Jihlava (CZE)|Czechoslovakia|Ice Hockey|1964 Winter|Men's Ice Hockey|Czechoslovakia|3|Bronze||1968 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver||1972 Winter|Men's Ice Hockey|Czechoslovakia|3|Bronze||1976 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ingrid Holkovičová (-Postiková)||Female|"5'2"" (158 cm)"|104 lbs (47 kg)|1959-12-05||Inter Bratislava, Bratislava (SVK)|Czechoslovakia|Gymnastics|1976 Summer|Women's Individual All-Around|Czechoslovakia|16|||1976 Summer|Women's Team All-Around|Czechoslovakia|5|||1976 Summer|Women's Floor Exercise|Czechoslovakia|19T  QR|||1976 Summer|Women's Horse Vault|Czechoslovakia|25T  QR|||1976 Summer|Women's Uneven Bars|Czechoslovakia|35T  QR|||1976 Summer|Women's Balance Beam|Czechoslovakia|20T  QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Walter Hollmann||Male||||||Czechoslovakia|Alpine Skiing|1936 Winter|Men's Combined|Czechoslovakia|16||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Holobrádek||Male|||1915-02-08|1986-01-13||Czechoslovakia|Rowing|1936 Summer|Men's Coxed Eights|Czechoslovakia|3 h1 r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaromír Holub||Male|||1954-12-17|||Czechoslovakia|Fencing|1980 Summer|Men's Épée, Team|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Karel Holý||Male|||1956-02-03|||Czechoslovakia|Ice Hockey|1980 Winter|Men's Ice Hockey|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Antonín Honig||Male||||||Czechoslovakia|Cycling|1928 Summer|Men's Road Race, Individual|Czechoslovakia|39|||1928 Summer|Men's Road Race, Team|Czechoslovakia|11||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Zdeňka Honsová||Female|||1927-07-03|1994-05-16||Czechoslovakia|Gymnastics|1948 Summer|Women's Team All-Around|Czechoslovakia|1|Gold|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"Bohumil ""Boris"" Honzátko"||Male|||1875-12-30|1950-12-12|Ceská AAU|Czechoslovakia|Athletics|1906 Summer|Men's Individual All-Around|Bohemia|10T |||1906 Summer|Men's Individual All-Around, 5 Events|Bohemia|7T |||1906 Summer|Men's Rope Climbing|Bohemia|17|||1908 Summer|Men's Individual All-Around|Bohemia|36|||1912 Summer|Men's Individual All-Around|Bohemia|36|||1912 Summer|Men's Marathon|Bohemia|AC||DNF|1924 Summer|Men's Marathon|Czechoslovakia|AC||DNF||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Hoplíček|Janik|Male|||1890-04-23|1946-04-13|Sokol Olomouc, Olomouc (CZE)|Czechoslovakia|Athletics|1920 Summer|Men's Discus Throw|Czechoslovakia|13 QR|||1932 Summer|Mixed Painting, Unknown Event|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Karel Hoplíček||Male|||1913-12-15||Moravská Slavia Brno, Brno (CZE)|Czechoslovakia|Athletics|1936 Summer|Men's Shot Put|Czechoslovakia|15||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Hora||Male|||1900|||Czechoslovakia|Water Polo|1920 Summer|Men's Water Polo|Czechoslovakia|11T |||1924 Summer|Men's Water Polo|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alena Horalová||Female|"5'5"" (164 cm)"|148 lbs (67 kg)|1952-11-24||Štart Bratislava, Bratislava (SVK)|Czechoslovakia|Handball|1980 Summer|Women's Handball|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Horčic||Male|"6'0"" (183 cm)"|157 lbs (71 kg)|1945-05-25||Dukla Praha, Praha (CZE)|Czechoslovakia|Athletics|1972 Summer|Men's 1,500 metres|Czechoslovakia|7 h2 r1/3|||1972 Summer|Men's 3,000 metres Steeplechase|Czechoslovakia|4 h3 r1/2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miroslav Horčic||Male|"5'8"" (173 cm)"|163 lbs (74 kg)|1921-08-03||Sparta Praha, Praha (CZE)|Czechoslovakia|Athletics|1952 Summer|Men's 100 metres|Czechoslovakia|4 h1 r1/4|||1952 Summer|Men's 200 metres|Czechoslovakia|5 h1 r2/4|||1952 Summer|Men's 4 × 100 metres Relay|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Horešovský||Male|"6'1"" (185 cm)"|196 lbs (89 kg)|1946-07-18||Sparta Praha, Praha (CZE)|Czechoslovakia|Ice Hockey|1968 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver||1972 Winter|Men's Ice Hockey|Czechoslovakia|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Otakar Hořínek|Otto|Male|"5'9"" (175 cm)"|161 lbs (73 kg)|1929-05-12|||Czechoslovakia|Shooting|1956 Summer|Men's Small-Bore Rifle, Three Positions, 50 metres|Czechoslovakia|2|Silver|OR|1956 Summer|Men's Small-Bore Rifle, Prone, 50 metres|Czechoslovakia|4|||1960 Summer|Men's Small-Bore Rifle, Three Positions, 50 metres|Czechoslovakia|10|||1960 Summer|Men's Small-Bore Rifle, Prone, 50 metres|Czechoslovakia|28||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Peter Horňák||Male|||1964-05-24|||Czechoslovakia|Water Polo|1992 Summer|Men's Water Polo|Czechoslovakia|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Eugen Horniak||Male|||1926-08-28|2004-10-06||Czechoslovakia|Basketball|1952 Summer|Men's Basketball|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Milan Horyna||Male|"5'5"" (165 cm)"|139 lbs (63 kg)|1939-01-09|||Czechoslovakia|Canoeing|1972 Summer|Men's Canadian Doubles, Slalom|Czechoslovakia|11||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Hosa||Male|||1882|||Czechoslovakia|Shooting|1924 Summer|Men's Running Target, Single Shot|Czechoslovakia|30|||1924 Summer|Men's Running Target, Double Shot|Czechoslovakia|27|||1924 Summer|Men's Running Target, Double Shot, Team|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Bedřich Hošek||Male|"5'9"" (174 cm)"|139 lbs (63 kg)|1911-12-02||Slavia Praha, Praha (CZE)|Czechoslovakia|Athletics|1936 Summer|Men's 1,500 metres|Czechoslovakia|5 h3 r1/2|||1936 Summer|Men's 3,000 metres Steeplechase|Czechoslovakia|7 h1 r1/2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Václav Hošek||Male|"6'0"" (182 cm)"|161 lbs (73 kg)|1909-08-18||SK Kladno, Kladno (CZE)|Czechoslovakia|Athletics|1936 Summer|Men's 3,000 metres Steeplechase|Czechoslovakia|8 h2 r1/2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alois Houba||Male|||1904-04-17|||Czechoslovakia|Art Competitions|1936 Summer|Mixed Painting, Graphic Arts|Czechoslovakia|AC|||1936 Summer|Mixed Sculpturing, Unknown Event|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dušan Houdek||Male|"6'2"" (188 cm)"|185 lbs (84 kg)|1931-04-02|||Czechoslovakia|Shooting|1960 Summer|Men's Small-Bore Rifle, Three Positions, 50 metres|Czechoslovakia|4|||1960 Summer|Men's Small-Bore Rifle, Prone, 50 metres|Czechoslovakia|68T  QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miloslav Houzim||Male|"5'11"" (180 cm)"|172 lbs (78 kg)|1941-06-29|||Czechoslovakia|Canoeing|1964 Summer|Men's Canadian Doubles, 1,000 metres|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Věra Hrabáková (Derflová-)||Female|"5'10"" (179 cm)"|159 lbs (72 kg)|1941-04-27|||Czechoslovakia|Volleyball|1968 Summer|Women's Volleyball|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Roman Hrabaň||Male|"6'2"" (187 cm)"|190 lbs (86 kg)|1962-06-28||Dukla Praha, Praha (CZE)|Czechoslovakia|Athletics|1988 Summer|Men's Decathlon|Czechoslovakia|20|||1992 Winter|Men's Two|Czechoslovakia-1|25|||1992 Winter|Men's Four|Czechoslovakia|21||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Antonín Hrabě||Male||130 lbs (59 kg)|1902|||Czechoslovakia|Weightlifting|1924 Summer|Men's Featherweight|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Hrach||Male|"5'6"" (167 cm)"|148 lbs (67 kg)|1929-05-07|||Czechoslovakia|Shooting|1960 Summer|Men's Trap|Czechoslovakia|29||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Marie Hrachová||Female|"5'4"" (162 cm)"|121 lbs (55 kg)|1963-11-12||Ostroj Frýdlant, Vítkovice/AC BB|Czechoslovakia|Table Tennis|1988 Summer|Women's Singles|Czechoslovakia|4|||1988 Summer|Women's Doubles|Czechoslovakia|5|||1992 Summer|Women's Singles|Czechoslovakia|9T |||1992 Summer|Women's Doubles|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Karel Hradil||Male|||1937-01-04|||Czechoslovakia|Canoeing|1956 Summer|Men's Canadian Singles, 1,000 metres|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Zdenka Hradilová||Female|"5'5"" (165 cm)"|139 lbs (63 kg)|1938-04-27|||Czechoslovakia|Canoeing|1964 Summer|Women's Kayak Singles, 500 metres|Czechoslovakia|6 h1r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anna Hradská||Female|"5'9"" (175 cm)"|139 lbs (63 kg)|1959-07-11||TJ Gottwaldov, Zlín (CZE)|Czechoslovakia|Handball|1988 Summer|Women's Handball|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alois Hrašek||Male||||||Czechoslovakia|Swimming|1920 Summer|Men's 400 metres Freestyle|Czechoslovakia|4 h3 r1/3|||1920 Summer|Men's 1,500 metres Freestyle|Czechoslovakia|5 h2 r1/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Gustav Hraška||Male|"6'2"" (187 cm)"|181 lbs (82 kg)|1953-01-05||Slavia Praha, Praha (CZE)|Czechoslovakia|Basketball|1976 Summer|Men's Basketball|Czechoslovakia|6|||1980 Summer|Men's Basketball|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miloš Hrazdíra||Male|"5'10"" (179 cm)"|159 lbs (72 kg)|1945-11-23|1990-01-25||Czechoslovakia|Cycling|1972 Summer|Men's 100 kilometres Team Time Trial|Czechoslovakia|13||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Hrbatý||Male|"5'7"" (170 cm)"|154 lbs (70 kg)|1942-01-20|||Czechoslovakia|Ice Hockey|1968 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Hrdina||Male|"5'11"" (180 cm)"|183 lbs (83 kg)|1958-01-05||Sparta Praha, Praha (CZE) / Calgary Flames, Calgary (CAN)|Czechoslovakia|Ice Hockey|1984 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver||1988 Winter|Men's Ice Hockey|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Hrdlička||Male|"6'0"" (182 cm)"|161 lbs (73 kg)|1967-12-23||TSM Brno/Kometa Brno|Czechoslovakia|Shooting|1992 Summer|Mixed Trap|Czechoslovakia|1|Gold|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anna Hřebřinová||Female|||1908-11-11|1993-12-06||Czechoslovakia|Gymnastics|1936 Summer|Women's Team All-Around|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Peter Hrivňák||Male|"6'1"" (185 cm)"|236 lbs (107 kg)|1965-05-06||Lokomotiva Košice ZŤS Martin/SKP Sever Ústi|Czechoslovakia|Boxing|1988 Summer|Men's Super-Heavyweight|Czechoslovakia|5T |||1992 Summer|Men's Super-Heavyweight|Czechoslovakia|5T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Hrneček||Male|"5'7"" (170 cm)"|165 lbs (75 kg)|1929-03-30|||Czechoslovakia|Shooting|1960 Summer|Men's Rapid-Fire Pistol, 25 metres|Czechoslovakia|8|||1960 Summer|Men's Free Pistol, 50 metres|Czechoslovakia|47||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Hynek Hromada||Male|"5'9"" (174 cm)"|212 lbs (96 kg)|1935-04-16|||Czechoslovakia|Shooting|1968 Summer|Mixed Free Pistol, 50 metres|Czechoslovakia|14|||1972 Summer|Mixed Free Pistol, 50 metres|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Eduard Hromádka||Male|||1909-03-01|||Czechoslovakia|Alpine Skiing|1936 Winter|Men's Combined|Czechoslovakia|AC||DNF||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Karel Hromádka||Male|||1905-05-23|1968-11-27||Czechoslovakia|Ice Hockey|1928 Winter|Men's Ice Hockey|Czechoslovakia|5T |||1936 Winter|Men's Ice Hockey|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Antonín Hrstka||Male|||1908-01-05|||Czechoslovakia|Rowing|1936 Summer|Men's Coxed Eights|Czechoslovakia|3 h1 r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Berta Hrubá||Female|"5'5"" (164 cm)"|128 lbs (58 kg)|1946-04-08|1998-07-24|Slavia Praha, Praha (CZE)|Czechoslovakia|Hockey|1980 Summer|Women's Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Věra Helena Hrubá (-Ralston, -Yates, -Alva)||Female|||1920-07-12|2003-02-09||Czechoslovakia|Figure Skating|1936 Winter|Women's Singles|Czechoslovakia|17||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Hrubeš||Male|||1916-09-26|||Czechoslovakia|Boxing|1936 Summer|Men's Middleweight|Czechoslovakia|5T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Gustav Agustin Hrubý||Male|||1916-04-18|||Czechoslovakia|Gymnastics|1948 Summer|Men's Individual All-Around|Czechoslovakia|74|||1948 Summer|Men's Team All-Around|Czechoslovakia|6|||1948 Summer|Men's Floor Exercise|Czechoslovakia|38T |||1948 Summer|Men's Horse Vault|Czechoslovakia|17|||1948 Summer|Men's Parallel Bars|Czechoslovakia|102|||1948 Summer|Men's Horizontal Bar|Czechoslovakia|103|||1948 Summer|Men's Rings|Czechoslovakia|46|||1948 Summer|Men's Pommelled Horse|Czechoslovakia|41T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ladislav Hrubý||Male|"5'10"" (177 cm)"|159 lbs (72 kg)|1934-11-22||RH Semily|Czechoslovakia|Cross Country Skiing|1964 Winter|Men's 15 kilometres|Czechoslovakia|29T |||1964 Winter|Men's 30 kilometres|Czechoslovakia|33|||1964 Winter|Men's 50 kilometres|Czechoslovakia|23||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vladimír Hrůza||Male|"5'10"" (178 cm)"|165 lbs (75 kg)|1960-02-06|||Czechoslovakia|Cycling|1988 Summer|Men's 100 kilometres Team Time Trial|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Hrúzik||Male|"5'9"" (176 cm)"|165 lbs (75 kg)|1927-05-01|||Czechoslovakia|Equestrianism|1960 Summer|Men's Three-Day Event, Individual|Czechoslovakia|AC||DNF||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Zbyněk Hubač||Male|"5'8"" (173 cm)"|165 lbs (75 kg)|1940-09-01|||Czechoslovakia|Ski Jumping|1964 Winter|Men's Normal Hill, Individual|Czechoslovakia|30|||1964 Winter|Men's Large Hill, Individual|Czechoslovakia|19|||1968 Winter|Men's Normal Hill, Individual|Czechoslovakia|19|||1968 Winter|Men's Large Hill, Individual|Czechoslovakia|25|||1972 Winter|Men's Normal Hill, Individual|Czechoslovakia|11T |||1972 Winter|Men's Large Hill, Individual|Czechoslovakia|15T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ida Hubáčková||Female|"5'5"" (164 cm)"|121 lbs (55 kg)|1954-10-01||Slavia Praha, Praha (CZE)|Czechoslovakia|Hockey|1980 Summer|Women's Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Rudolf Hübner||Male|"6'0"" (184 cm)"|159 lbs (72 kg)|1944-05-20||Sparta Praha, Praha (CZE)|Czechoslovakia|Athletics|1968 Summer|Men's High Jump|Czechoslovakia|22T  QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miloslava Hübnerová-Rezková||Female|"5'8"" (173 cm)"|139 lbs (63 kg)|1950-07-22||RH Praha, Praha (CZE)|Czechoslovakia|Athletics|1968 Summer|Women's High Jump|Czechoslovakia|1|Gold||1972 Summer|Women's High Jump|Czechoslovakia|15||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ľuboš Hudák||Male|"5'11"" (180 cm)"|181 lbs (82 kg)|1968-11-04||ŠKP Bratislava, Bratislava (SVK)|Czechoslovakia|Handball|1992 Summer|Men's Handball|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alois Hudec||Male|||1908-07-12|1997-01-23||Czechoslovakia|Gymnastics|1936 Summer|Men's Individual All-Around|Czechoslovakia|4|||1936 Summer|Men's Team All-Around|Czechoslovakia|4|||1936 Summer|Men's Floor Exercise|Czechoslovakia|11|||1936 Summer|Men's Horse Vault|Czechoslovakia|18|||1936 Summer|Men's Parallel Bars|Czechoslovakia|4|||1936 Summer|Men's Horizontal Bar|Czechoslovakia|10|||1936 Summer|Men's Rings|Czechoslovakia|1|Gold||1936 Summer|Men's Pommelled Horse|Czechoslovakia|26||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Hudec||Male|"6'0"" (184 cm)"|172 lbs (78 kg)|1964-08-15||VŠ Praha, Praha (CZE)|Czechoslovakia|Athletics|1988 Summer|Men's 110 metres Hurdles|Czechoslovakia|5 h2 r3/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Hudeček||Male|"6'2"" (187 cm)"|287 lbs (130 kg)|1965-08-30|||Czechoslovakia|Weightlifting|1988 Summer|Men's Super-Heavyweight|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Václav Hudek||Male||||||Czechoslovakia|Art Competitions|1936 Summer|Mixed Architecture, Unknown Event|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Hujer||Male|"5'7"" (171 cm)"|181 lbs (82 kg)|1941-01-18|||Czechoslovakia|Luge|1964 Winter|Men's Singles|Czechoslovakia|24|||1964 Winter|Mixed (Men)'s Doubles|Czechoslovakia-1|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Zdeněk Humhal||Male|"6'3"" (191 cm)"|183 lbs (83 kg)|1933-12-30||Slavia Praha, Praha (CZE)|Czechoslovakia|Volleyball|1964 Summer|Men's Volleyball|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Huml||Male|||1880-06-15|||Czechoslovakia|Wrestling|1920 Summer|Men's Middleweight, Greco-Roman|Czechoslovakia|AC r2/5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Humpál||Male|||1916-02-04|||Czechoslovakia|Canoeing|1936 Summer|Men's Kayak Doubles, 10,000 metres|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vladimír Hurt||Male|"5'9"" (174 cm)"|159 lbs (72 kg)|1948-05-08|||Czechoslovakia|Shooting|1972 Summer|Mixed Rapid-Fire Pistol, 25 metres|Czechoslovakia|9|||1976 Summer|Mixed Rapid-Fire Pistol, 25 metres|Czechoslovakia|12T |||1980 Summer|Mixed Rapid-Fire Pistol, 25 metres|Czechoslovakia|26T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Milan Hurtala||Male|"6'1"" (186 cm)"|207 lbs (94 kg)|1946-06-16|||Czechoslovakia|Rowing|1968 Summer|Men's Coxed Eights|Czechoslovakia|AC (5)||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Hušek||Male|||1913-01-27||Sparta Praha, Praha (CZE)|Czechoslovakia|Athletics|1936 Summer|Men's 3,000 metres Steeplechase|Czechoslovakia|8 h3 r1/2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
